,tripid,shipperid,categoryid,customer,shipdate,origincity,originstate,shipdays,destinationcity,destinationstate,deliverydate,totalmiles,loadedmiles,shippingcost,revenue,capacity,triptype,checkpoints,newshipdate,newdeliverydate,month,day,profit,datediff,revenue running totel,cost running totel
1617,11618,2,3,Tamtexon,28-02-2016,Naperville,IL,2,Indianapolis,IN,29-02-2016,967,581,363,711,70,Domestic,7,2016-02-28,2016-02-29,2,28,348,1 days,1956466,1755545
663,10664,2,7,mathtouch,28-02-2016,Skokie,IL,4,Chicago,IL,03-03-2016,699,678,8014,8429,53,Domestic,10,2016-02-28,2016-03-03,2,28,415,4 days,1964895,1763559
1133,11134,3,6,Plustaxon,28-02-2016,Rockford,IL,4,Green Bay,WI,03-03-2016,721,717,8314,8586,74,Domestic,7,2016-02-28,2016-03-03,2,28,272,4 days,1973481,1771873
25,10026,2,6,Baselux,28-02-2016,Northbrook,IL,10,Naperville,IL,09-03-2016,875,247,1780,2445,70,International,8,2016-02-28,2016-03-09,2,28,665,10 days,1975926,1773653
522,10523,1,5,Subvivais,28-02-2016,Naperville,IL,2,Indianapolis,IN,29-02-2016,649,366,2655,2874,73,Domestic,6,2016-02-28,2016-02-29,2,28,219,1 days,1978800,1776308
1119,11120,2,4,Donelectrics,28-02-2016,Davenport,IA,3,Appleton,WI,02-03-2016,508,493,2674,860,73,Domestic,3,2016-02-28,2016-03-02,2,28,-1814,3 days,1979660,1778982
1624,11625,2,5,Bluezoombam,28-02-2016,Elgin,IL,4,Cincinnati,OH,03-03-2016,228,228,6603,7537,88,Domestic,9,2016-02-28,2016-03-03,2,28,934,4 days,1987197,1785585
291,10292,2,6,xx-way,28-02-2016,Grand Rapids,MI,2,Toledo,OH,01-03-2016,915,570,1595,1796,64,Domestic,3,2016-02-28,2016-03-01,2,28,201,2 days,1988993,1787180
260,10261,1,6,Conehotice,28-02-2016,Appleton,WI,2,Grand Rapids,MI,01-03-2016,807,200,863,1113,73,Domestic,1,2016-02-28,2016-03-01,2,28,250,2 days,1990106,1788043
698,10699,2,5,Quotefix,28-02-2016,Naperville,IL,2,Indianapolis,IN,29-02-2016,1038,452,2556,2858,73,Domestic,10,2016-02-28,2016-02-29,2,28,302,1 days,1992964,1790599
869,10870,1,3,Hayholding,28-02-2016,Joliet,IL,2,Madison,WI,28-02-2016,214,214,3667,3832,64,Domestic,6,2016-02-28,2016-02-28,2,28,165,0 days,1996796,1794266
1687,11688,2,6,Zunhouse,28-02-2016,Kalamazoo,MI,8,Bangor,MI,07-03-2016,1158,319,7542,7955,76,International,6,2016-02-28,2016-03-07,2,28,413,8 days,2004751,1801808
874,10875,1,6,Canace,28-02-2016,Appleton,WI,1,Grand Rapids,MI,29-02-2016,488,233,484,698,96,Intercom,3,2016-02-28,2016-02-29,2,28,214,1 days,2005449,1802292
1197,11198,2,2,Trio-dax,28-02-2016,Joliet,IL,2,Madison,WI,29-02-2016,216,216,1797,2306,71,Domestic,1,2016-02-28,2016-02-29,2,28,509,1 days,2007755,1804089
1175,11176,3,1,Tantechi,28-02-2016,Monon,IN,3,Lansing,MI,02-03-2016,1002,585,702,5415,82,Domestic,6,2016-02-28,2016-03-02,2,28,4713,3 days,2013170,1804791
1314,11315,2,2,Laex,28-02-2016,Dayton,OH,3,Elgin,IL,02-03-2016,453,341,1520,2197,71,Domestic,6,2016-02-28,2016-03-02,2,28,677,3 days,2015367,1806311
178,10179,2,8,Zotfan,29-02-2016,Dayton,OH,4,Elgin,IL,01-03-2016,550,421,6668,7405,87,Domestic,7,2016-02-29,2016-03-01,2,29,737,1 days,2022772,1812979
50,10051,2,7,Howplanet,29-02-2016,Green Bay,WI,9,Joliet,IL,06-03-2016,1130,462,6108,6863,89,International,8,2016-02-29,2016-03-06,2,29,755,6 days,2029635,1819087
587,10588,2,4,Viatom,29-02-2016,Naperville,IL,2,Indianapolis,IN,01-03-2016,947,744,5440,3358,81,Domestic,4,2016-02-29,2016-03-01,2,29,-2082,1 days,2032993,1824527
1127,11128,2,3,Siliconcore,29-02-2016,Gary,IN,1,Milwaukee,WI,01-03-2016,297,297,3948,4412,87,Domestic,1,2016-02-29,2016-03-01,2,29,464,1 days,2037405,1828475
1639,11640,3,1,Singlejob,29-02-2016,Green Bay,WI,8,Joliet,IL,08-03-2016,429,391,1918,5363,84,International,7,2016-02-29,2016-03-08,2,29,3445,8 days,2042768,1830393
1158,11159,3,3,Blue-tech,01-03-2016,Dayton,OH,3,Elgin,IL,01-03-2016,551,551,453,1165,80,Domestic,9,2016-03-01,2016-03-01,3,1,712,0 days,2043933,1830846
1397,11398,3,2,Fasezoomfix,01-03-2016,Madison,WI,1,Kalamazoo,MI,02-03-2016,213,213,2505,3498,60,Domestic,5,2016-03-01,2016-03-02,3,1,993,1 days,2047431,1833351
1630,11631,2,1,Ronvivalam,01-03-2016,Springfield,IL,3,Skokie,IL,04-03-2016,576,359,8,3710,52,Domestic,5,2016-03-01,2016-03-04,3,1,3702,3 days,2051141,1833359
215,10216,2,8,Sonbam,01-03-2016,Madison,WI,6,Kalamazoo,MI,07-03-2016,820,793,5563,5854,82,International,8,2016-03-01,2016-03-07,3,1,291,6 days,2056995,1838922
1315,11316,2,6,Tantax,01-03-2016,Toledo,OH,1,Detriot,MI,02-03-2016,518,518,4674,4931,64,Domestic,4,2016-03-01,2016-03-02,3,1,257,1 days,2061926,1843596
1635,11636,2,5,Quadplanet,01-03-2016,Gary,IN,1,Milwaukee,WI,02-03-2016,1146,473,1179,1685,94,Domestic,6,2016-03-01,2016-03-02,3,1,506,1 days,2063611,1844775
969,10970,2,2,Strongcane,02-03-2016,Milwaukee,WI,2,Springfield,IL,04-03-2016,524,524,5693,5958,99,Domestic,1,2016-03-02,2016-03-04,3,2,265,2 days,2069569,1850468
714,10715,2,6,Ronplanet,02-03-2016,Indianapolis,IN,1,Northbrook,IL,03-03-2016,315,315,5028,5230,97,Domestic,5,2016-03-02,2016-03-03,3,2,202,1 days,2074799,1855496
1377,11378,3,2,Fixcan,02-03-2016,Madison,WI,1,Kalamazoo,MI,03-03-2016,263,263,8077,8545,78,Domestic,4,2016-03-02,2016-03-03,3,2,468,1 days,2083344,1863573
10,10011,2,7,Indi-dox,02-03-2016,Green Bay,WI,6,Joliet,IL,08-03-2016,470,284,3389,3978,55,International,2,2016-03-02,2016-03-08,3,2,589,6 days,2087322,1866962
743,10744,2,5,Lamlab,02-03-2016,Cincinnati,OH,8,Gary,IN,10-03-2016,754,350,4571,4763,92,International,10,2016-03-02,2016-03-10,3,2,192,8 days,2092085,1871533
1202,11203,2,3,Keyzunbase,02-03-2016,Appleton,WI,1,Grand Rapids,MI,03-03-2016,932,526,7977,8757,81,Intercom,10,2016-03-02,2016-03-03,3,2,780,1 days,2100842,1879510
51,10052,2,5,Fasezim,02-03-2016,Naperville,IL,2,Indianapolis,IN,03-03-2016,832,458,6187,6513,58,Domestic,1,2016-03-02,2016-03-03,3,2,326,1 days,2107355,1885697
1147,11148,2,5,Jaydox,02-03-2016,Northbrook,IL,1,Naperville,IL,03-03-2016,1160,522,5837,6816,59,Domestic,2,2016-03-02,2016-03-03,3,2,979,1 days,2114171,1891534
1764,11765,2,6,Zathlane,02-03-2016,Gary,IN,5,Milwaukee,WI,07-03-2016,689,689,126,294,82,International,7,2016-03-02,2016-03-07,3,2,168,5 days,2114465,1891660
389,10390,1,8,Zummatexon,02-03-2016,Green Bay,WI,4,Joliet,IL,06-03-2016,1022,479,6497,6819,67,Domestic,2,2016-03-02,2016-03-06,3,2,322,4 days,2121284,1898157
1098,11099,2,2,Good-find,03-03-2016,Davenport,IA,4,Appleton,WI,07-03-2016,704,468,5215,5939,96,Domestic,8,2016-03-03,2016-03-07,3,3,724,4 days,2127223,1903372
1554,11555,2,6,Vaiazozice,03-03-2016,Madison,WI,2,Kalamazoo,MI,05-03-2016,634,634,6318,6733,96,Intercom,9,2016-03-03,2016-03-05,3,3,415,2 days,2133956,1909690
818,10819,1,4,zathhow,03-03-2016,Chicago,IL,1,Rockford,IL,04-03-2016,638,638,6417,4224,81,Domestic,2,2016-03-03,2016-03-04,3,3,-2193,1 days,2138180,1916107
639,10640,1,8,Howplanet,03-03-2016,Bangor,MI,2,Davenport,IA,05-03-2016,390,390,4594,4956,54,Domestic,4,2016-03-03,2016-03-05,3,3,362,2 days,2143136,1920701
543,10544,2,8,Joyzim,03-03-2016,Appleton,WI,2,Grand Rapids,MI,05-03-2016,1162,637,96,626,69,Intercom,7,2016-03-03,2016-03-05,3,3,530,2 days,2143762,1920797
1478,11479,2,5,Goldentechi,03-03-2016,Springfield,IL,2,Skokie,IL,05-03-2016,233,203,5624,6000,95,Intercom,4,2016-03-03,2016-03-05,3,3,376,2 days,2149762,1926421
1645,11646,2,6,planetron,03-03-2016,Toledo,OH,2,Detriot,MI,05-03-2016,396,337,4932,5355,89,Domestic,5,2016-03-03,2016-03-05,3,3,423,2 days,2155117,1931353
139,10140,2,7,Ronvivalam,04-03-2016,Lansing,MI,3,Dayton,OH,07-03-2016,814,714,1649,2329,65,Domestic,6,2016-03-04,2016-03-07,3,4,680,3 days,2157446,1933002
632,10633,2,6,Bamtechnology,04-03-2016,Naperville,IL,2,Indianapolis,IN,05-03-2016,380,380,1910,2067,97,Domestic,6,2016-03-04,2016-03-05,3,4,157,1 days,2159513,1934912
1537,11538,3,3,Zaamhouse,04-03-2016,Dayton,OH,3,Elgin,IL,07-03-2016,1133,279,668,958,85,Domestic,7,2016-03-04,2016-03-07,3,4,290,3 days,2160471,1935580
1600,11601,2,2,Scotcan,04-03-2016,Dayton,OH,3,Elgin,IL,04-03-2016,1014,235,3038,3544,100,Domestic,5,2016-03-04,2016-03-04,3,4,506,0 days,2164015,1938618
1660,11661,2,3,geohigh,04-03-2016,Rockford,IL,2,Green Bay,WI,06-03-2016,1013,424,8006,8753,80,Domestic,4,2016-03-04,2016-03-06,3,4,747,2 days,2172768,1946624
151,10152,1,6,Lamlab,04-03-2016,Gary,IN,2,Milwaukee,WI,06-03-2016,636,536,7145,7537,72,Domestic,4,2016-03-04,2016-03-06,3,4,392,2 days,2180305,1953769
1708,11709,2,2,Faxzumtrax,04-03-2016,Elgin,IL,7,Cincinnati,OH,11-03-2016,360,360,3877,4031,99,International,7,2016-03-04,2016-03-11,3,4,154,7 days,2184336,1957646
762,10763,2,6,geohigh,04-03-2016,Rockford,IL,5,Green Bay,WI,21-03-2016,568,568,8309,8508,90,International,1,2016-03-04,2016-03-21,3,4,199,17 days,2192844,1965955
1409,11410,2,2,re-can,04-03-2016,Kalamazoo,MI,8,Bangor,MI,11-03-2016,721,419,2021,2498,80,International,10,2016-03-04,2016-03-11,3,4,477,7 days,2195342,1967976
1580,11581,2,5,Beta-ron,04-03-2016,Toledo,OH,3,Detriot,MI,07-03-2016,287,287,2875,3433,97,Domestic,3,2016-03-04,2016-03-07,3,4,558,3 days,2198775,1970851
856,10857,2,6,Vivazim,05-03-2016,Lansing,MI,2,Dayton,OH,07-03-2016,274,274,7657,8611,98,Intercom,3,2016-03-05,2016-03-07,3,5,954,2 days,2207386,1978508
1550,11551,2,6,Anmedia,05-03-2016,Detriot,MI,6,Monon,IN,12-03-2016,536,455,5542,6309,89,International,9,2016-03-05,2016-03-12,3,5,767,7 days,2213695,1984050
116,10117,1,6,Silverace,05-03-2016,Toledo,OH,2,Detriot,MI,07-03-2016,559,216,7038,7844,97,Domestic,1,2016-03-05,2016-03-07,3,5,806,2 days,2221539,1991088
592,10593,2,8,san-plex,05-03-2016,Toledo,OH,1,Detriot,MI,06-03-2016,828,655,779,1238,96,Domestic,7,2016-03-05,2016-03-06,3,5,459,1 days,2222777,1991867
1632,11633,3,3,Faxotfind,05-03-2016,Indianapolis,IN,4,Northbrook,IL,09-03-2016,692,692,4059,4695,63,Domestic,8,2016-03-05,2016-03-09,3,5,636,4 days,2227472,1995926
1002,11003,2,1,Xx-planet,05-03-2016,Rockford,IL,2,Green Bay,WI,07-03-2016,936,427,1396,5802,99,Domestic,2,2016-03-05,2016-03-07,3,5,4406,2 days,2233274,1997322
649,10650,1,6,Anmedia,05-03-2016,Detriot,MI,2,Monon,IN,07-03-2016,1143,563,7882,8267,61,Domestic,2,2016-03-05,2016-03-07,3,5,385,2 days,2241541,2005204
1767,11768,3,3,Viacane,05-03-2016,Green Bay,WI,1,Joliet,IL,06-03-2016,1094,354,8459,8818,52,Domestic,10,2016-03-05,2016-03-06,3,5,359,1 days,2250359,2013663
253,10254,1,8,O-tom,05-03-2016,Detriot,MI,2,Monon,IN,07-03-2016,901,530,3739,4153,54,Intercom,8,2016-03-05,2016-03-07,3,5,414,2 days,2254512,2017402
168,10169,2,4,Indibase,05-03-2016,Chicago,IL,2,Rockford,IL,07-03-2016,328,328,2583,802,71,Domestic,1,2016-03-05,2016-03-07,3,5,-1781,2 days,2255314,2019985
1785,11786,2,2,Silverfase,06-03-2016,Northbrook,IL,8,Naperville,IL,21-03-2016,862,773,5321,6295,90,International,10,2016-03-06,2016-03-21,3,6,974,15 days,2261609,2025306
101,10102,1,5,Donplanet,06-03-2016,Davenport,IA,7,Appleton,WI,10-03-2016,988,333,306,917,80,International,2,2016-03-06,2016-03-10,3,6,611,4 days,2262526,2025612
90,10091,2,7,Fin-cone,06-03-2016,Naperville,IL,4,Indianapolis,IN,09-03-2016,669,332,2235,2655,85,Domestic,5,2016-03-06,2016-03-09,3,6,420,3 days,2265181,2027847
1378,11379,3,6,Dentoelectrics,06-03-2016,Green Bay,WI,3,Joliet,IL,09-03-2016,425,425,7781,8270,88,Domestic,9,2016-03-06,2016-03-09,3,6,489,3 days,2273451,2035628
729,10730,1,6,Cityis,06-03-2016,Skokie,IL,7,Chicago,IL,21-03-2016,467,363,6208,7203,88,International,10,2016-03-06,2016-03-21,3,6,995,15 days,2280654,2041836
1382,11383,2,3,Alphadax,06-03-2016,Dayton,OH,4,Elgin,IL,08-03-2016,773,601,5120,5994,68,Domestic,9,2016-03-06,2016-03-08,3,6,874,2 days,2286648,2046956
1622,11623,2,5,Goodquoing,06-03-2016,Toledo,OH,10,Detriot,MI,21-03-2016,824,545,7805,8613,76,International,2,2016-03-06,2016-03-21,3,6,808,15 days,2295261,2054761
203,10204,2,4,Scotlex,06-03-2016,Kalamazoo,MI,5,Bangor,MI,08-03-2016,1107,730,2776,1197,76,International,8,2016-03-06,2016-03-08,3,6,-1579,2 days,2296458,2057537
483,10484,1,4,Alphadax,07-03-2016,Dayton,OH,1,Elgin,IL,08-03-2016,349,349,6634,4927,65,Domestic,5,2016-03-07,2016-03-08,3,7,-1707,1 days,2301385,2064171
838,10839,1,6,Konknix,07-03-2016,Grand Rapids,MI,3,Toledo,OH,10-03-2016,219,219,485,721,86,Domestic,4,2016-03-07,2016-03-10,3,7,236,3 days,2302106,2064656
148,10149,2,4,Y-zoom,07-03-2016,Indianapolis,IN,7,Northbrook,IL,14-03-2016,393,379,1926,142,52,International,3,2016-03-07,2016-03-14,3,7,-1784,7 days,2302248,2066582
552,10553,1,7,villahouse,07-03-2016,Grand Rapids,MI,2,Toledo,OH,09-03-2016,1179,658,1843,2235,50,Domestic,8,2016-03-07,2016-03-09,3,7,392,2 days,2304483,2068425
485,10486,2,5,Alphafan,07-03-2016,Lansing,MI,4,Dayton,OH,11-03-2016,273,273,3302,3490,71,Domestic,8,2016-03-07,2016-03-11,3,7,188,4 days,2307973,2071727
386,10387,1,6,roundphase,07-03-2016,Joliet,IL,2,Madison,WI,08-03-2016,618,204,7216,7893,61,Domestic,6,2016-03-07,2016-03-08,3,7,677,1 days,2315866,2078943
1231,11232,3,3,dripkix,07-03-2016,Skokie,IL,1,Chicago,IL,08-03-2016,711,242,2893,3318,85,Domestic,5,2016-03-07,2016-03-08,3,7,425,1 days,2319184,2081836
823,10824,2,7,Namelectronics,07-03-2016,Monon,IN,2,Lansing,MI,09-03-2016,568,509,2010,2921,63,Domestic,5,2016-03-07,2016-03-09,3,7,911,2 days,2322105,2083846
1306,11307,2,5,Jaylane,07-03-2016,Joliet,IL,2,Madison,WI,08-03-2016,277,277,1929,2654,76,Domestic,5,2016-03-07,2016-03-08,3,7,725,1 days,2324759,2085775
1062,11063,2,4,Goldenlex,07-03-2016,Gary,IN,1,Milwaukee,WI,08-03-2016,938,260,3202,404,93,Domestic,6,2016-03-07,2016-03-08,3,7,-2798,1 days,2325163,2088977
217,10218,2,8,Faxzumtrax,07-03-2016,Naperville,IL,9,Indianapolis,IN,16-03-2016,411,411,3865,4172,79,International,9,2016-03-07,2016-03-16,3,7,307,9 days,2329335,2092842
912,10913,3,1,Baselux,08-03-2016,Northbrook,IL,10,Naperville,IL,21-03-2016,1109,505,5198,10155,90,International,1,2016-03-08,2016-03-21,3,8,4957,13 days,2339490,2098040
1534,11535,2,3,dripkix,08-03-2016,Rockford,IL,5,Green Bay,WI,21-03-2016,411,411,8227,8949,70,International,10,2016-03-08,2016-03-21,3,8,722,13 days,2348439,2106267
1171,11172,2,2,tinron,08-03-2016,Northbrook,IL,3,Naperville,IL,11-03-2016,810,633,214,441,63,Domestic,10,2016-03-08,2016-03-11,3,8,227,3 days,2348880,2106481
617,10618,2,5,Cannamcon,08-03-2016,Elgin,IL,8,Cincinnati,OH,16-03-2016,529,450,6014,6538,53,International,8,2016-03-08,2016-03-16,3,8,524,8 days,2355418,2112495
669,10670,2,4,Vaiazoom,08-03-2016,Chicago,IL,4,Rockford,IL,12-03-2016,388,388,6071,3903,82,Domestic,2,2016-03-08,2016-03-12,3,8,-2168,4 days,2359321,2118566
201,10202,1,6,Dingcan,09-03-2016,Bangor,MI,3,Davenport,IA,12-03-2016,802,703,2842,3827,55,Domestic,2,2016-03-09,2016-03-12,3,9,985,3 days,2363148,2121408
143,10144,2,4,Hexunobam,09-03-2016,Kalamazoo,MI,3,Bangor,MI,12-03-2016,732,201,7807,5690,54,Domestic,10,2016-03-09,2016-03-12,3,9,-2117,3 days,2368838,2129215
570,10571,2,8,Zamlane,09-03-2016,Lansing,MI,2,Dayton,OH,11-03-2016,429,325,1876,2259,86,Domestic,8,2016-03-09,2016-03-11,3,9,383,2 days,2371097,2131091
37,10038,2,5,Xx-dotone,09-03-2016,Elgin,IL,3,Cincinnati,OH,12-03-2016,1047,398,6309,6723,88,Domestic,9,2016-03-09,2016-03-12,3,9,414,3 days,2377820,2137400
960,10961,2,2,mathtouch,10-03-2016,Rockford,IL,6,Green Bay,WI,16-03-2016,401,401,7172,7857,68,International,6,2016-03-10,2016-03-16,3,10,685,6 days,2385677,2144572
1805,11806,3,4,Lazap,10-03-2016,Indianapolis,IN,3,Northbrook,IL,13-03-2016,988,352,7584,5055,64,Domestic,10,2016-03-10,2016-03-13,3,10,-2529,3 days,2390732,2152156
546,10547,2,7,Condexon,10-03-2016,Toledo,OH,4,Detriot,MI,14-03-2016,1039,547,4004,4613,61,Domestic,4,2016-03-10,2016-03-14,3,10,609,4 days,2395345,2156160
662,10663,2,7,Newzap,10-03-2016,Elgin,IL,2,Cincinnati,OH,10-03-2016,1197,234,6019,6190,58,Domestic,2,2016-03-10,2016-03-10,3,10,171,0 days,2401535,2162179
711,10712,1,8,Silverace,10-03-2016,Milwaukee,WI,7,Springfield,IL,21-03-2016,1018,484,6039,6526,73,International,3,2016-03-10,2016-03-21,3,10,487,11 days,2408061,2168218
301,10302,1,5,Recode,11-03-2016,Green Bay,WI,1,Joliet,IL,12-03-2016,614,204,4790,5610,89,Domestic,10,2016-03-11,2016-03-12,3,11,820,1 days,2413671,2173008
387,10388,1,7,Medialax,11-03-2016,Monon,IN,4,Lansing,MI,15-03-2016,303,303,4784,5203,80,Domestic,9,2016-03-11,2016-03-15,3,11,419,4 days,2418874,2177792
131,10132,1,4,Goodquoing,11-03-2016,Monon,IN,7,Lansing,MI,21-03-2016,697,495,2594,885,56,International,4,2016-03-11,2016-03-21,3,11,-1709,10 days,2419759,2180386
1150,11151,2,1,villahouse,11-03-2016,Joliet,IL,3,Madison,WI,12-03-2016,1074,553,2018,5684,77,Domestic,3,2016-03-11,2016-03-12,3,11,3666,1 days,2425443,2182404
623,10624,2,6,Whitefan,11-03-2016,Springfield,IL,9,Skokie,IL,17-03-2016,682,636,1197,1523,63,International,8,2016-03-11,2016-03-17,3,11,326,6 days,2426966,2183601
430,10431,1,7,Kantone,11-03-2016,Detriot,MI,2,Monon,IN,13-03-2016,906,319,1581,2182,69,Domestic,8,2016-03-11,2016-03-13,3,11,601,2 days,2429148,2185182
75,10076,1,7,Vaiataxon,11-03-2016,Elgin,IL,5,Cincinnati,OH,16-03-2016,443,443,3836,4534,92,International,4,2016-03-11,2016-03-16,3,11,698,5 days,2433682,2189018
86,10087,1,7,Funlax,11-03-2016,Joliet,IL,2,Madison,WI,13-03-2016,965,659,8235,8684,54,Domestic,7,2016-03-11,2016-03-13,3,11,449,2 days,2442366,2197253
858,10859,2,6,Ittam,11-03-2016,Elgin,IL,1,Cincinnati,OH,12-03-2016,225,225,6466,7168,57,Domestic,1,2016-03-11,2016-03-12,3,11,702,1 days,2449534,2203719
1456,11457,3,4,Vivazim,12-03-2016,Springfield,IL,9,Skokie,IL,21-03-2016,769,448,6266,4926,99,International,10,2016-03-12,2016-03-21,3,12,-1340,9 days,2454460,2209985
424,10425,2,7,Goodtechno,12-03-2016,Davenport,IA,10,Appleton,WI,21-03-2016,1140,710,4002,4367,86,International,1,2016-03-12,2016-03-21,3,12,365,9 days,2458827,2213987
1477,11478,3,5,Tantechi,12-03-2016,Milwaukee,WI,9,Springfield,IL,21-03-2016,481,481,1689,2348,76,International,6,2016-03-12,2016-03-21,3,12,659,9 days,2461175,2215676
22,10023,2,8,scotquote,12-03-2016,Springfield,IL,2,Skokie,IL,14-03-2016,680,303,1417,1663,85,Domestic,7,2016-03-12,2016-03-14,3,12,246,2 days,2462838,2217093
1203,11204,3,5,K-is,12-03-2016,Cincinnati,OH,3,Gary,IN,15-03-2016,430,430,7975,8312,78,Domestic,4,2016-03-12,2016-03-15,3,12,337,3 days,2471150,2225068
144,10145,1,7,Opehouse,13-03-2016,Grand Rapids,MI,2,Toledo,OH,13-03-2016,587,587,3197,3471,90,Domestic,6,2016-03-13,2016-03-13,3,13,274,0 days,2474621,2228265
1648,11649,3,5,Lexidom,13-03-2016,Kalamazoo,MI,1,Bangor,MI,14-03-2016,536,536,3143,3855,98,Domestic,4,2016-03-13,2016-03-14,3,13,712,1 days,2478476,2231408
171,10172,2,8,Goldenlex,13-03-2016,Gary,IN,5,Milwaukee,WI,15-03-2016,1152,268,5802,6065,71,International,2,2016-03-13,2016-03-15,3,13,263,2 days,2484541,2237210
348,10349,2,5,Daltfax,13-03-2016,Cincinnati,OH,9,Gary,IN,19-03-2016,1076,699,377,546,90,International,3,2016-03-13,2016-03-19,3,13,169,6 days,2485087,2237587
238,10239,1,4,Plustaxon,13-03-2016,Rockford,IL,2,Green Bay,WI,15-03-2016,239,239,7178,5528,98,Domestic,9,2016-03-13,2016-03-15,3,13,-1650,2 days,2490615,2244765
693,10694,1,5,Plextechi,13-03-2016,Detriot,MI,2,Monon,IN,15-03-2016,524,524,6846,7562,74,Intercom,2,2016-03-13,2016-03-15,3,13,716,2 days,2498177,2251611
876,10877,1,2,Linetone,13-03-2016,Dayton,OH,1,Elgin,IL,14-03-2016,1186,606,5584,6366,60,Domestic,7,2016-03-13,2016-03-14,3,13,782,1 days,2504543,2257195
666,10667,1,4,J-lax,13-03-2016,Grand Rapids,MI,3,Toledo,OH,16-03-2016,999,574,1568,51,54,Domestic,1,2016-03-13,2016-03-16,3,13,-1517,3 days,2504594,2258763
866,10867,1,5,zen-holdings,14-03-2016,Northbrook,IL,2,Naperville,IL,16-03-2016,288,288,50,218,88,Domestic,2,2016-03-14,2016-03-16,3,14,168,2 days,2504812,2258813
525,10526,2,6,Icedox,14-03-2016,Dayton,OH,10,Elgin,IL,24-03-2016,940,288,598,915,64,International,10,2016-03-14,2016-03-24,3,14,317,10 days,2505727,2259411
726,10727,1,8,Fasetech,15-03-2016,Lansing,MI,10,Dayton,OH,25-03-2016,968,630,5889,6087,66,International,8,2016-03-15,2016-03-25,3,15,198,10 days,2511814,2265300
550,10551,2,8,O-tom,15-03-2016,Kalamazoo,MI,3,Bangor,MI,18-03-2016,525,525,6716,7394,82,Domestic,4,2016-03-15,2016-03-18,3,15,678,3 days,2519208,2272016
989,10990,2,2,Strongtechnology,15-03-2016,Skokie,IL,4,Chicago,IL,19-03-2016,514,514,5208,5612,50,Domestic,10,2016-03-15,2016-03-19,3,15,404,4 days,2524820,2277224
208,10209,1,8,Scothouse,15-03-2016,Chicago,IL,1,Rockford,IL,16-03-2016,843,275,605,1133,78,Domestic,1,2016-03-15,2016-03-16,3,15,528,1 days,2525953,2277829
1697,11698,3,2,Latgotrax,15-03-2016,Monon,IN,1,Lansing,MI,16-03-2016,1072,692,1484,1915,83,Domestic,8,2016-03-15,2016-03-16,3,15,431,1 days,2527868,2279313
1351,11352,2,6,Saokeycane,15-03-2016,Joliet,IL,1,Madison,WI,16-03-2016,1077,454,6067,6192,60,Domestic,2,2016-03-15,2016-03-16,3,15,125,1 days,2534060,2285380
1544,11545,2,2,Tamholding,15-03-2016,Davenport,IA,1,Appleton,WI,16-03-2016,573,573,2363,2807,66,Domestic,1,2016-03-15,2016-03-16,3,15,444,1 days,2536867,2287743
245,10246,2,8,Joyzim,15-03-2016,Kalamazoo,MI,4,Bangor,MI,19-03-2016,948,437,8264,8844,75,Domestic,1,2016-03-15,2016-03-19,3,15,580,4 days,2545711,2296007
1559,11560,2,6,Faseway,15-03-2016,Dayton,OH,4,Elgin,IL,17-03-2016,316,316,7824,8066,63,Domestic,10,2016-03-15,2016-03-17,3,15,242,2 days,2553777,2303831
786,10787,2,7,Anzammedia,16-03-2016,Appleton,WI,7,Grand Rapids,MI,22-03-2016,833,620,7683,8104,69,International,1,2016-03-16,2016-03-22,3,16,421,6 days,2561881,2311514
800,10801,2,8,Scotlex,16-03-2016,Detriot,MI,1,Monon,IN,17-03-2016,304,304,7021,7945,60,Intercom,1,2016-03-16,2016-03-17,3,16,924,1 days,2569826,2318535
1753,11754,3,5,Ittam,16-03-2016,Elgin,IL,2,Cincinnati,OH,17-03-2016,479,238,742,1135,54,Domestic,8,2016-03-16,2016-03-17,3,16,393,1 days,2570961,2319277
325,10326,1,7,Sanin,16-03-2016,Appleton,WI,1,Grand Rapids,MI,17-03-2016,495,243,5565,6560,91,Intercom,9,2016-03-16,2016-03-17,3,16,995,1 days,2577521,2324842
1440,11441,3,6,Howelectrics,16-03-2016,Madison,WI,2,Kalamazoo,MI,18-03-2016,943,594,1651,1838,82,Intercom,4,2016-03-16,2016-03-18,3,16,187,2 days,2579359,2326493
603,10604,2,5,hottaxon,16-03-2016,Northbrook,IL,4,Naperville,IL,20-03-2016,1001,788,4248,4697,78,Domestic,7,2016-03-16,2016-03-20,3,16,449,4 days,2584056,2330741
877,10878,1,2,Tantechi,16-03-2016,Toledo,OH,3,Detriot,MI,19-03-2016,759,759,322,765,53,Domestic,8,2016-03-16,2016-03-19,3,16,443,3 days,2584821,2331063
1414,11415,2,1,Sonzamace,16-03-2016,Northbrook,IL,1,Naperville,IL,17-03-2016,221,221,8182,12995,96,Domestic,5,2016-03-16,2016-03-17,3,16,4813,1 days,2597816,2339245
557,10558,2,5,saltlab,16-03-2016,Northbrook,IL,10,Naperville,IL,26-03-2016,1145,236,2158,2699,77,International,9,2016-03-16,2016-03-26,3,16,541,10 days,2600515,2341403
750,10751,1,5,Saokeycane,17-03-2016,Grand Rapids,MI,4,Toledo,OH,19-03-2016,1076,798,3560,3913,57,Domestic,5,2016-03-17,2016-03-19,3,17,353,2 days,2604428,2344963
